A,B
10,22
9,23
11,22
7,19
8,22
10,22
7,20
10,22
8,22
10,22
8,21
7,19
10,22
10,22
8,21
7,22
9,22
8,21
8,21
8,22
8,19
10,23
7,22
8,21
10,22
8,22
7,19
8,21
8,21
7,19
10,23
7,20
8,22
8,22
8,21
7,19
9,22
8,21
7,20
7,19
8,22
8,22
10,22
8,21
8,21
11,22
7,20
7,21
7,20
7,22
7,20
8,21
9,21
9,21
8,20
10,22
9,22
7,19
10,23
10,22
7,20
8,21
8,21
10,22
8,21
8,22
9,22
8,22
6,19
7,21
7,18
10,22
9,21
9,22
7,19
7,22
8,21
7,21
8,21
10,22
8,22
10,21
9,21
9,21
8,21
8,19
8,22
8,22
7,19
10,22
7,19
9,22
8,21
8,22
9,21
9,21
7,21
7,19
8,21
9,22
8,21
9,21
10,22
6,20
7,21
7,19
9,22
9,22
9,22
8,20
8,21
8,21
10,22
8,22
8,21
8,22
9,22
9,21
7,20
8,22
10,22
7,20
7,21
9,22
9,21
9,22
9,22
8,21
10,22
9,21
7,19
7,19
8,21
7,22
7,20
8,21
7,20
7,20
8,21
7,20
8,22
9,22
8,21
9,22
8,20
9,22
8,21
7,21
10,22
9,22
7,20
9,21
8,20
7,21
9,23
7,19
8,21
9,22
9,21
8,22
8,20
9,23
7,21
7,20
7,19
11,22
8,21
7,19
7,20
7,20
8,19
8,21
7,20
7,20
9,22
9,22
8,20
10,22
10,22
8,22
8,21
9,21
7,19
7,19
7,18
9,22
8,20
7,20
7,19
8,20
9,21
8,21
7,20
7,20
10,22
7,22
8,22
7,21
8,21
8,22
7,20
8,21
11,22
8,21
8,21
8,22
8,21
9,22
7,20
8,20
7,21
10,22
9,22
9,21
9,22
7,19
9,23
8,21
7,19
8,20
8,20
10,22
8,21
9,19
8,20
10,21
8,20
9,23
10,22
11,23
7,20
9,22
9,21
9,21
10,22
7,19
7,19
10,22
10,22
8,21
9,21
6,19
10,22
8,21
9,21
9,22
7,20
8,20
8,20
8,21
9,22
7,21
8,20
10,22
7,20
8,20
9,23
9,22
9,22
10,22
9,22
8,22
9,22
10,22
7,19
6,19
8,21
7,20
8,21
7,19
8,20
10,22
6,19
8,21
9,22
8,21
7,20
7,19
8,22
9,22
7,19
7,19
8,21
7,20
9,21
9,21
8,21
10,21
9,22
8,22
8,21
7,21
8,21
7,20
6,19
8,20
9,21
7,20
9,22
8,20
7,20
7,21
7,19
7,18
6,19
7,20
8,22
7,20
10,22
8,20
8,20
8,20
9,21
10,22
9,22
7,21
7,19
11,22
7,20
7,19
8,21
6,18
8,22
8,22
8,22
8,22
7,21
8,20
10,22
7,20
8,20
7,19
10,22
9,22
9,22
8,20
10,22
7,19
7,18
6,18
7,19
9,22
7,20
7,20
7,19
10,21
7,20
8,21
10,21
9,22
6,19
7,22
7,20
9,21
10,22
8,21
8,21
8,20
7,20
8,21
10,22
10,22
9,22
8,21
9,22
10,22
9,22
8,22
10,23
9,22
9,21
7,19
7,19
7,20
8,22
10,21
10,22
10,22
9,21
8,21
7,19
8,22
9,21
7,20
8,22
9,21
7,20
6,19
8,21
8,21
8,20
7,19
8,20
10,22
8,21
8,20
10,22
9,21
7,19
7,20
9,21
7,19
8,21
9,21
8,21
8,22
7,19
7,19
10,22
7,21
7,19
9,22
8,21
10,22
10,21
8,20
9,21
6,20
8,21
7,19
9,22
9,21
9,22
7,22
7,22
7,20
8,21
7,19
7,19
6,20
8,21
7,20
8,20
9,22
7,20
9,22
10,22
8,21
7,19
8,20
7,21
9,22
7,20
8,21
8,20
8,19
9,22
10,22
8,21
7,19
7,20
11,23
7,20
7,20
7,19
7,21
7,20
8,21
7,21
7,19
10,22
10,22
7,20
8,21
9,21
9,21
9,23
9,22
10,22
9,21
10,22
10,22
7,21
7,19
9,21
8,20
8,20
9,21
8,22
8,21
8,19
7,21
7,20
9,21
9,21
10,21
10,22
9,22
7,19
9,22
10,22
9,22
9,23
9,21
7,19
7,20
7,19
8,21
7,22
10,22
9,21
8,21
7,19
9,21
7,21
9,22
8,22
8,20
10,22
10,22
9,21
7,21
10,22
7,21
7,19
7,21
9,22
8,20
7,20
7,20
8,22
7,19
9,22
7,20
8,21
9,21
8,22
7,19
7,21
8,22
8,21
7,21
9,22
9,21
8,20
8,20
9,22
8,22
7,19
7,19
8,22
9,22
9,22
9,21
8,20
10,22
8,21
9,23
10,22
7,21
9,22
8,21
7,20
8,21
9,22
8,21
8,21
9,22
10,21
7,19
10,22
8,20
7,20
7,19
6,19
10,23
10,22
10,23
8,21
7,21
8,21
9,22
9,22
7,21
7,19
6,19
7,19
7,20
8,21
7,20
9,22
9,22
7,20
10,23
7,20
8,20
9,21
10,22
10,22
7,20
8,21
10,22
8,20
10,22
8,20
8,22
7,21
7,20
7,20
8,21
7,21
8,21
8,21
9,21
9,21
8,21
7,21
7,21
7,18
10,22
10,22
10,22
10,23
9,21
9,22
7,21
7,21
7,20
8,20
7,18
10,22
9,22
9,22
9,21
7,21
9,21
7,18
9,22
7,19
7,19
9,22
8,22
10,22
10,23
8,21
9,21
7,21
10,22
7,20
10,22
9,23
7,20
8,22
7,19
10,22
10,22
8,21
10,22
10,21
9,22
7,19
7,19
9,21
8,21
10,22
8,22
7,19
8,22
8,22
7,20
7,21
8,21
7,19
6,20
10,22
7,21
10,22
7,19
8,21
7,20
10,23
8,20
7,19
10,21
9,22
8,22
8,21
7,19
8,20
8,22
8,22
8,21
9,22
8,21
8,21
7,19
9,22
7,20
7,19
10,22
8,21
6,18
7,20
8,22
9,22
10,22
7,20
8,20
8,20
8,20
7,19
8,20
11,22
8,20
9,22
9,21
8,19
9,22
7,20
7,20
8,20
7,19
8,22
8,21
7,19
10,22
8,21
10,22
7,19
10,22
9,21
8,22
11,23
9,22
9,22
8,19
8,19
7,20
9,21
7,19
8,21
10,22
7,19
7,21
7,22
8,21
10,21
8,21
7,20
7,19
10,22
8,21
8,22
8,20
7,21
7,21
7,20
7,21
8,21
10,22
10,22
8,21
7,20
10,22
7,20
9,22
9,22
8,20
8,20
7,18
9,22
6,19
8,21
6,19
10,21
9,22
7,21
9,21
7,20
8,21
7,20
9,23
8,21
7,21
7,21
8,21
8,21
10,21
8,21
9,22
9,21
7,20
8,20
7,19
10,22
7,22
9,21
8,20
8,20
10,21
6,19
7,19
10,22
7,20
9,21
7,19
9,22
7,19
9,22
7,18
8,21
8,21
7,19
9,22
7,19
10,22
8,22
9,21
6,19
10,21
9,21
8,21
7,20
7,21
7,19
7,20
7,19
10,22
9,22
10,22
10,22
10,22
9,21
8,22
9,22
8,22
7,21
8,21
8,22
10,22
7,20
7,19
8,22
9,21
8,20
8,21
8,21
